втси╤х,P0.2,P0.1,P0.05,P0.02,P0.01,P0.002,P0.001
54,1.297,1.674,2.005,2.397,2.67,3.248,3.48
55,1.297,1.673,2.004,2.396,2.668,3.245,3.476
56,1.297,1.673,2.003,2.395,2.667,3.242,3.473
57,1.297,1.672,2.002,2.394,2.665,3.239,3.47
58,1.296,1.672,2.002,2.392,2.663,3.237,3.466
59,1.296,1.671,2.001,2.391,2.662,3.234,3.463
60,1.296,1.671,2,2.39,2.66,3.232,3.46
61,1.296,1.67,2,2.389,2.659,3.229,3.457
62,1.295,1.67,1.999,2.388,2.657,3.227,3.454
63,1.295,1.669,1.998,2.387,2.656,3.225,3.452
64,1.295,1.669,1.998,2.386,2.655,3.223,3.449
65,1.295,1.669,1.997,2.385,2.654,3.22,3.447
66,1.295,1.668,1.997,2.384,2.652,3.218,3.444
67,1.294,1.668,1.996,2.383,2.651,3.216,3.442
68,1.294,1.668,1.995,2.382,2.65,3.214,3.439
69,1.294,1.667,1.995,2.382,2.649,3.213,3.437
70,1.294,1.667,1.994,2.381,2.648,3.211,3.435
71,1.294,1.667,1.994,2.38,2.647,3.209,3.433
72,1.293,1.666,1.993,2.379,2.646,3.207,3.431
73,1.293,1.666,1.993,2.379,2.645,3.206,3.429
74,1.293,1.666,1.993,2.378,2.644,3.204,3.427
75,1.293,1.665,1.992,2.377,2.643,3.202,3.425
76,1.293,1.665,1.992,2.376,2.642,3.201,3.423
77,1.293,1.665,1.991,2.376,2.641,3.199,3.421
78,1.292,1.665,1.991,2.375,2.64,3.198,3.42
79,1.292,1.664,1.99,2.374,2.64,3.197,3.418
80,1.292,1.664,1.99,2.374,2.639,3.195,3.416
81,1.292,1.664,1.99,2.373,2.638,3.194,3.415
82,1.292,1.664,1.989,2.373,2.637,3.193,3.413
83,1.292,1.663,1.989,2.372,2.636,3.191,3.412
84,1.292,1.663,1.989,2.372,2.636,3.19,3.41
85,1.292,1.663,1.988,2.371,2.635,3.189,3.409
86,1.291,1.663,1.988,2.37,2.634,3.188,3.407
87,1.291,1.663,1.988,2.37,2.634,3.187,3.406
88,1.291,1.662,1.987,2.369,2.633,3.185,3.405
89,1.291,1.662,1.987,2.369,2.632,3.184,3.403
90,1.291,1.662,1.987,2.368,2.632,3.183,3.402
91,1.291,1.662,1.986,2.368,2.631,3.182,3.401
92,1.291,1.662,1.986,2.368,2.63,3.181,3.399
93,1.291,1.661,1.986,2.367,2.63,3.18,3.398
94,1.291,1.661,1.986,2.367,2.629,3.179,3.397
95,1.291,1.661,1.985,2.366,2.629,3.178,3.396
96,1.29,1.661,1.985,2.366,2.628,3.177,3.395
97,1.29,1.661,1.985,2.365,2.627,3.176,3.394
98,1.29,1.661,1.984,2.365,2.627,3.175,3.393
99,1.29,1.66,1.984,2.365,2.626,3.175,3.392
100,1.29,1.66,1.984,2.364,2.626,3.174,3.39
120,1.289,1.658,1.98,2.358,2.617,3.16,3.373
